width_level,trial_number,dH,response,correct,finger_speed,timestamp
10,1,20.0000,left,1,85.0042,2026-06-29T12:49:27
10,2,20.0000,right,1,124.4550,2026-06-29T12:49:30
10,3,19.0000,right,1,0.0000,2026-06-29T12:49:32
10,4,19.0000,right,1,0.0000,2026-06-29T12:49:34
10,5,18.0000,left,1,0.0000,2026-06-29T12:49:36
10,6,18.0000,left,1,0.0000,2026-06-29T12:49:37
10,7,17.0000,left,1,0.0000,2026-06-29T12:49:38
10,8,17.0000,right,1,84.0825,2026-06-29T12:49:40
10,9,16.0000,left,1,77.9082,2026-06-29T12:49:42
10,10,16.0000,left,1,92.3426,2026-06-29T12:49:44
10,11,15.0000,right,1,90.0941,2026-06-29T12:49:44
