width_level,trial_number,dH,response,correct,finger_speed,timestamp
2,1,4.0000,left,1,97.9713,2026-06-29T12:50:08
2,2,4.0000,left,1,0.0000,2026-06-29T12:50:12
2,3,3.8000,left,1,0.0000,2026-06-29T12:50:14
2,4,3.8000,left,1,0.0000,2026-06-29T12:50:15
2,5,3.6000,right,1,0.0000,2026-06-29T12:50:16
2,6,3.6000,left,1,0.0000,2026-06-29T12:50:18
2,7,3.4000,right,1,0.0000,2026-06-29T12:50:19
2,8,3.4000,right,1,0.0000,2026-06-29T12:50:20
2,9,3.2000,right,1,0.0000,2026-06-29T12:50:21
2,10,3.2000,right,1,0.0000,2026-06-29T12:50:22
2,11,3.0000,right,1,0.0000,2026-06-29T12:50:23
2,12,3.0000,left,1,0.0000,2026-06-29T12:50:24
2,13,2.8000,left,1,0.0000,2026-06-29T12:50:26
2,14,2.8000,left,1,0.0000,2026-06-29T12:50:27
2,15,2.6000,right,1,0.0000,2026-06-29T12:50:28
2,16,2.6000,left,1,0.0000,2026-06-29T12:50:29
2,17,2.4000,left,1,0.0000,2026-06-29T12:50:30
2,18,2.4000,left,1,0.0000,2026-06-29T12:50:31
2,19,2.2000,left,1,0.0000,2026-06-29T12:50:32
2,20,2.2000,left,1,0.0000,2026-06-29T12:50:32
2,21,2.0000,left,1,0.0000,2026-06-29T12:50:33
2,22,2.0000,right,1,0.0000,2026-06-29T12:50:34
2,23,1.8000,left,1,0.0000,2026-06-29T12:50:34
2,24,1.8000,right,1,0.0000,2026-06-29T12:50:35
2,25,1.6000,right,1,0.0000,2026-06-29T12:50:37
2,26,1.6000,left,1,0.0000,2026-06-29T12:50:38
2,27,1.4000,left,1,0.0000,2026-06-29T12:50:39
2,28,1.4000,right,1,0.0000,2026-06-29T12:50:39
2,29,1.2000,left,1,0.0000,2026-06-29T12:50:40
2,30,1.2000,left,1,0.0000,2026-06-29T12:50:41
