session_id,participant_id,timestamp,trial_index,mode,level_pct,comparison_height_mm,reference_height_mm,bar_width_mm,reference_side,response,correct,is_catch,is_practice,response_time_s,passes_json
P01_20260710_155834,,2026-07-10T15:58:54,1,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,right,right,1,0,0,3.7969,[]
P01_20260710_155834,,2026-07-10T15:58:56,2,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,left,right,0,0,0,2.2942,[]
P01_20260710_155834,,2026-07-10T15:58:58,3,constant_stimuli,0.180000,11.8000,10.0000,10.0000,right,right,0,0,0,1.4778,[]
P01_20260710_155834,,2026-07-10T15:58:59,4,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,left,right,0,0,0,1.0574,[]
P01_20260710_155834,,2026-07-10T15:59:00,5,constant_stimuli,0.060000,10.6000,10.0000,10.0000,left,right,1,0,0,0.7794,[]
P01_20260710_155834,,2026-07-10T15:59:01,6,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,right,right,1,0,0,1.0024,[]
P01_20260710_155834,,2026-07-10T15:59:02,7,constant_stimuli,0.060000,10.6000,10.0000,10.0000,right,left,1,0,0,1.2220,[]
P01_20260710_155834,,2026-07-10T15:59:03,8,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,1,0,0.6605,[]
P01_20260710_155834,,2026-07-10T15:59:04,9,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,0,0,1.1380,[]
P01_20260710_155834,,2026-07-10T15:59:05,10,constant_stimuli,0.180000,11.8000,10.0000,10.0000,left,right,1,0,0,1.2065,[]
P01_20260710_155834,,2026-07-10T15:59:06,11,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,right,right,1,0,0,0.8838,[]
P01_20260710_155834,,2026-07-10T15:59:07,12,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,left,1,0,0,0.6791,[]
P01_20260710_155834,,2026-07-10T15:59:08,13,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,right,right,1,0,0,0.8990,[]
P01_20260710_155834,,2026-07-10T15:59:08,14,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,right,right,1,0,0,0.8330,[]
P01_20260710_155834,,2026-07-10T15:59:09,15,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,left,left,1,0,0,0.4415,[]
P01_20260710_155834,,2026-07-10T15:59:10,16,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,1,0,1.1726,[]
P01_20260710_155834,,2026-07-10T15:59:11,17,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,left,right,0,0,0,0.9838,[]
P01_20260710_155834,,2026-07-10T15:59:12,18,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,left,left,1,0,0,1.2750,[]
P01_20260710_155834,,2026-07-10T15:59:13,19,constant_stimuli,0.180000,11.8000,10.0000,10.0000,right,left,1,0,0,0.8498,[]
P01_20260710_155834,,2026-07-10T15:59:14,20,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,left,1,0,0,1.1533,[]
P01_20260710_155834,,2026-07-10T15:59:15,21,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,right,right,1,0,0,0.9345,[]
P01_20260710_155834,,2026-07-10T15:59:18,22,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,left,right,0,0,0,3.2125,[]
P01_20260710_155834,,2026-07-10T15:59:19,23,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,left,left,1,0,0,0.7828,[]
P01_20260710_155834,,2026-07-10T15:59:20,24,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,right,right,1,0,0,1.1427,[]
P01_20260710_155834,,2026-07-10T15:59:21,25,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,left,left,1,0,0,0.5766,[]
P01_20260710_155834,,2026-07-10T15:59:22,26,constant_stimuli,0.180000,11.8000,10.0000,10.0000,right,left,1,0,0,0.6782,[]
