session_id,participant_id,timestamp,trial_index,mode,level_pct,comparison_height_mm,reference_height_mm,bar_width_mm,reference_side,response,correct,is_catch,is_practice,response_time_s,passes_json
P01_20260710_155834,,2026-07-10T15:59:22,27,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,right,right,1,1,0,0.7646,[]
P01_20260710_155834,,2026-07-10T15:59:24,28,constant_stimuli,0.180000,11.8000,10.0000,10.0000,left,right,1,0,0,1.9380,[]
P01_20260710_155834,,2026-07-10T15:59:25,29,constant_stimuli,0.060000,10.6000,10.0000,10.0000,left,right,1,0,0,1.0359,[]
P01_20260710_155834,,2026-07-10T15:59:26,30,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,left,1,0,0,0.5088,[]
P01_20260710_155834,,2026-07-10T15:59:30,31,constant_stimuli,0.180000,11.8000,10.0000,10.0000,right,left,1,0,0,0.8019,[]
P01_20260710_155834,,2026-07-10T15:59:32,32,constant_stimuli,0.060000,10.6000,10.0000,10.0000,right,right,0,0,0,2.2950,[]
P01_20260710_155834,,2026-07-10T15:59:33,33,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,right,right,1,0,0,0.7975,[]
P01_20260710_155834,,2026-07-10T15:59:33,34,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,0,0,0.5768,[]
P01_20260710_155834,,2026-07-10T15:59:34,35,constant_stimuli,0.060000,10.6000,10.0000,10.0000,left,right,1,0,0,0.4572,[]
P01_20260710_155834,,2026-07-10T15:59:35,36,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,right,right,1,0,0,0.7297,[]
P01_20260710_155834,,2026-07-10T15:59:35,37,constant_stimuli,0.060000,10.6000,10.0000,10.0000,left,right,1,0,0,0.8316,[]
P01_20260710_155834,,2026-07-10T15:59:36,38,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,left,left,1,0,0,0.6468,[]
P01_20260710_155834,,2026-07-10T15:59:37,39,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,right,right,1,0,0,0.8993,[]
P01_20260710_155834,,2026-07-10T15:59:37,40,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,left,1,0,0,0.4936,[]
P01_20260710_155834,,2026-07-10T15:59:38,41,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,0,0,0.5253,[]
P01_20260710_155834,,2026-07-10T15:59:38,42,constant_stimuli,0.180000,11.8000,10.0000,10.0000,right,left,1,0,0,0.5260,[]
P01_20260710_155834,,2026-07-10T15:59:40,43,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,right,right,1,0,0,1.1205,[]
P01_20260710_155834,,2026-07-10T15:59:40,44,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,left,left,1,0,0,0.6278,[]
P01_20260710_155834,,2026-07-10T15:59:41,45,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,left,right,0,0,0,1.0205,[]
P01_20260710_155834,,2026-07-10T15:59:42,46,constant_stimuli,0.180000,11.8000,10.0000,10.0000,left,right,1,0,0,1.0867,[]
P01_20260710_155834,,2026-07-10T15:59:44,47,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,left,left,1,0,0,1.7365,[]
P01_20260710_155834,,2026-07-10T15:59:45,48,constant_stimuli,0.180000,11.8000,10.0000,10.0000,left,right,1,0,0,1.3592,[]
P01_20260710_155834,,2026-07-10T15:59:47,49,constant_stimuli,0.060000,10.6000,10.0000,10.0000,right,left,1,0,0,1.6347,[]
P01_20260710_155834,,2026-07-10T15:59:48,50,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,right,right,1,1,0,0.6960,[]
P01_20260710_155834,,2026-07-10T15:59:48,51,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,left,left,1,0,0,0.6283,[]
P01_20260710_155834,,2026-07-10T15:59:51,52,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,left,right,0,0,0,2.4314,[]
P01_20260710_155834,,2026-07-10T15:59:51,53,constant_stimuli,0.060000,10.6000,10.0000,10.0000,right,left,1,0,0,0.6624,[]
P01_20260710_155834,,2026-07-10T15:59:53,54,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,left,left,1,0,0,1.0870,[]
P01_20260710_155834,,2026-07-10T15:59:53,55,constant_stimuli,-0.180000,8.2000,10.0000,10.0000,right,right,1,0,0,0.6268,[]
P01_20260710_155834,,2026-07-10T15:59:54,56,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,left,1,1,0,0.4927,[]
P01_20260710_155834,,2026-07-10T15:59:55,57,constant_stimuli,0.060000,10.6000,10.0000,10.0000,right,right,0,0,0,1.6009,[]
P01_20260710_155834,,2026-07-10T15:59:56,58,constant_stimuli,0.300000,13.0000,10.0000,10.0000,right,left,1,0,0,0.6116,[]
P01_20260710_155834,,2026-07-10T15:59:57,59,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,0,0,0.7294,[]
P01_20260710_155834,,2026-07-10T15:59:58,60,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,right,right,1,0,0,1.3097,[]
P01_20260710_155834,,2026-07-10T16:00:03,61,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,right,right,1,0,0,2.2355,[]
P01_20260710_155834,,2026-07-10T16:00:04,62,constant_stimuli,-0.300000,7.0000,10.0000,10.0000,left,left,1,1,0,0.7470,[]
P01_20260710_155834,,2026-07-10T16:00:05,63,constant_stimuli,0.300000,13.0000,10.0000,10.0000,left,right,1,0,0,1.4120,[]
P01_20260710_155834,,2026-07-10T16:00:06,64,constant_stimuli,0.060000,10.6000,10.0000,10.0000,left,right,1,0,0,0.8319,[]
P01_20260710_155834,,2026-07-10T16:00:06,65,constant_stimuli,-0.060000,9.4000,10.0000,10.0000,right,left,0,0,0,0.6095,[]
P01_20260710_155834,,2026-07-10T16:00:07,66,constant_stimuli,0.180000,11.8000,10.0000,10.0000,left,right,1,0,0,0.7148,[]
