width_level,height_level,trial_number,dH,response,correct,finger_speed,timestamp
10,10,1,20.0000,right,1,150.0830,2026-06-30T14:12:46
10,10,2,20.0000,left,1,0.0000,2026-06-30T14:12:47
10,10,3,19.0000,right,1,0.0000,2026-06-30T14:12:48
10,10,4,19.0000,left,1,0.0000,2026-06-30T14:12:49
10,10,5,18.0000,right,1,0.0000,2026-06-30T14:12:49
10,10,6,18.0000,right,1,0.0000,2026-06-30T14:12:50
10,10,7,17.0000,left,1,0.0000,2026-06-30T14:12:50
10,10,8,17.0000,right,0,0.0000,2026-06-30T14:12:51
10,10,9,18.0000,right,1,0.0000,2026-06-30T14:12:55
10,10,10,18.0000,left,1,0.0000,2026-06-30T14:12:56
10,10,11,17.0000,right,1,0.0000,2026-06-30T14:12:57
10,10,12,17.0000,right,1,0.0000,2026-06-30T14:12:59
10,10,13,16.0000,right,1,0.0000,2026-06-30T14:13:01
